"n","p","matrix_gb","implementation","mean_seconds","sd_seconds","min_seconds","max_seconds","batch_calls","n_rep"
10000,1000,0.0745058059692383,"mfscreen",0.00134375,3.261526606295e-05,0.00131249999999999,0.00141406249999999,128,8
50000,1000,0.372529029846191,"mfscreen",0.00614843749999999,4.00543715288467e-05,0.00609375000000001,0.00621875000000005,32,8
100000,1000,0.745058059692383,"mfscreen",0.0116999999999998,0.000455864563220234,0.01125,0.0122499999999999,8,5
10000,5000,0.372529029846191,"mfscreen",0.00635546875000002,0.000200402427162218,0.00615624999999997,0.00675000000000003,32,8
50000,5000,1.86264514923096,"mfscreen",0.0278500000000001,0.00060207972893965,0.0272500000000004,0.0285000000000011,4,5
100000,5000,3.72529029846191,"mfscreen",0.0528333333333334,0.0042524502740592,0.0479999999999983,0.0560000000000009,2,3
10000,10000,0.745058059692383,"mfscreen",0.011925,0.000222731621014911,0.0117500000000001,0.0123124999999997,16,5
50000,10000,3.72529029846191,"mfscreen",0.0499999999999995,0.000500000000002387,0.0494999999999948,0.0504999999999995,2,3
100000,10000,7.45058059692383,"mfscreen",0.0964999999999989,0.00300000000000011,0.0934999999999988,0.099499999999999,2,3
10000,1000,0.0745058059692383,"mfscreen0",0.014609375,0.000140748953307524,0.0145,0.0148750000000002,8,8
50000,1000,0.372529029846191,"mfscreen0",0.0734999999999999,0.000462910049886293,0.0730000000000004,0.0745000000000005,2,8
100000,1000,0.745058059692383,"mfscreen0",0.1488,0.000447213595500107,0.148,0.149000000000001,1,5
10000,5000,0.372529029846191,"mfscreen0",0.0763750000000001,0.0013562026818606,0.0745000000000005,0.0790000000000006,2,8
50000,5000,1.86264514923096,"mfscreen0",0.3762,0.00192353840616598,0.374000000000002,0.378999999999998,1,5
100000,5000,3.72529029846191,"mfscreen0",0.888,0.215297468633512,0.749000000000002,1.136,1,3
10000,10000,0.745058059692383,"mfscreen0",0.149800000000002,0.000447213595504477,0.148999999999994,0.150000000000006,1,5
50000,10000,3.72529029846191,"mfscreen0",0.74633333333333,0.000577350269192382,0.745999999999995,0.747,1,3
100000,10000,7.45058059692383,"mfscreen0",1.49833333333333,0.00493288286231051,1.495,1.50399999999999,1,3
