"n","p","replication","implementation","time_seconds","batch_calls"
500,200,1,"mfscreen0",0.000138671874999999,512
500,200,2,"mfscreen0",0.000136718749999997,512
500,200,3,"mfscreen0",0.000138671874999999,512
500,200,4,"mfscreen0",0.000136718750000001,512
500,200,5,"mfscreen0",0.000138671875000003,512
500,200,6,"mfscreen0",0.000136718750000001,512
500,200,7,"mfscreen0",0.000136718750000001,512
500,200,8,"mfscreen0",0.000136718750000001,512
500,200,9,"mfscreen0",0.000138671874999999,512
500,200,10,"mfscreen0",0.000138671874999999,512
500,200,11,"mfscreen0",0.000136718750000001,512
500,200,12,"mfscreen0",0.000138671874999999,512
500,200,1,"mfscreen",0.000119140625,512
500,200,2,"mfscreen",0.000119140625,512
500,200,3,"mfscreen",0.000115234375000002,512
500,200,4,"mfscreen",0.000123046875000001,512
500,200,5,"mfscreen",0.00011328125,512
500,200,6,"mfscreen",0.000126953124999999,512
500,200,7,"mfscreen",0.000121093749999999,512
500,200,8,"mfscreen",0.000117187499999998,512
500,200,9,"mfscreen",0.000121093749999999,512
500,200,10,"mfscreen",0.000125,512
500,200,11,"mfscreen",0.000123046875000001,512
500,200,12,"mfscreen",0.000121093749999999,512
2000,200,1,"mfscreen0",0.000554687499999998,128
2000,200,2,"mfscreen0",0.000554687499999998,128
2000,200,3,"mfscreen0",0.000554687499999998,128
2000,200,4,"mfscreen0",0.000554687499999998,128
2000,200,5,"mfscreen0",0.000554687499999998,128
2000,200,6,"mfscreen0",0.000562500000000007,128
2000,200,7,"mfscreen0",0.000554687499999998,128
2000,200,8,"mfscreen0",0.000554687499999998,128
2000,200,9,"mfscreen0",0.000562499999999994,128
2000,200,10,"mfscreen0",0.000554687499999998,128
2000,200,11,"mfscreen0",0.000562499999999994,128
2000,200,12,"mfscreen0",0.000546875000000002,128
2000,200,1,"mfscreen",0.000140624999999998,512
2000,200,2,"mfscreen",0.000140624999999998,512
2000,200,3,"mfscreen",0.000140624999999998,512
2000,200,4,"mfscreen",0.000142578125000001,512
2000,200,5,"mfscreen",0.000138671874999996,512
2000,200,6,"mfscreen",0.000140624999999998,512
2000,200,7,"mfscreen",0.000140624999999998,512
2000,200,8,"mfscreen",0.000138671874999996,512
2000,200,9,"mfscreen",0.000138671874999996,512
2000,200,10,"mfscreen",0.000140624999999998,512
2000,200,11,"mfscreen",0.000140624999999998,512
2000,200,12,"mfscreen",0.000140624999999998,512
5000,200,1,"mfscreen0",0.00140625,64
5000,200,2,"mfscreen0",0.00140625,64
5000,200,3,"mfscreen0",0.00140625,64
5000,200,4,"mfscreen0",0.00140625,64
5000,200,5,"mfscreen0",0.00140625,64
5000,200,6,"mfscreen0",0.00140625,64
5000,200,7,"mfscreen0",0.00139062500000003,64
5000,200,8,"mfscreen0",0.00142187499999996,64
5000,200,9,"mfscreen0",0.00139062499999998,64
5000,200,10,"mfscreen0",0.00140625,64
5000,200,11,"mfscreen0",0.00139062499999998,64
5000,200,12,"mfscreen0",0.00140625,64
5000,200,1,"mfscreen",0.000226562499999999,256
5000,200,2,"mfscreen",0.000226562499999999,256
5000,200,3,"mfscreen",0.000222656249999995,256
5000,200,4,"mfscreen",0.000226562500000013,256
5000,200,5,"mfscreen",0.000226562499999999,256
5000,200,6,"mfscreen",0.000226562499999999,256
5000,200,7,"mfscreen",0.000222656249999995,256
