"n","p","implementation","mean_seconds","sd_seconds","min_seconds","max_seconds","batch_calls","n_rep"
500,200,"mfscreen",0.000120442708333333,3.93573155031868e-06,0.00011328125,0.000126953124999999,512,12
2000,200,"mfscreen",0.000140299479166665,1.12763724451237e-06,0.000138671874999996,0.000142578125000001,512,12
5000,200,"mfscreen",0.0002255859375,1.7666680346361e-06,0.000222656249999995,0.000226562500000013,256,12
500,1000,"mfscreen",0.000149902343750001,8.833340173177e-07,0.000148437500000001,0.000150390625000003,512,12
2000,1000,"mfscreen",0.000337890625000002,2.63359321274558e-06,0.000335937499999994,0.000343750000000004,256,12
5000,1000,"mfscreen",0.000704427083333334,1.96610271751812e-05,0.000695312499999989,0.000765624999999992,128,12
500,5000,"mfscreen",0.000395182291666662,7.7828509366816e-06,0.000382812499999996,0.000414062499999979,128,12
2000,5000,"mfscreen",0.00134375000000001,2.58038382451409e-05,0.00129687500000003,0.00139062499999998,64,12
5000,5000,"mfscreen",0.00320052083333329,8.37024259948782e-05,0.0030937499999999,0.00340625000000006,32,12
500,200,"mfscreen0",0.0001376953125,1.01998626536546e-06,0.000136718749999997,0.000138671875000003,512,12
2000,200,"mfscreen0",0.000555989583333332,4.51054897804327e-06,0.000546875000000002,0.000562500000000007,128,12
5000,200,"mfscreen0",0.00140364583333333,9.02109795608145e-06,0.00139062499999998,0.00142187499999996,64,12
500,1000,"mfscreen0",0.000692057291666661,6.19501141483102e-06,0.000679687499999998,0.000703124999999999,128,12
2000,1000,"mfscreen0",0.00283593750000002,1.94244237658803e-05,0.0028125,0.00287499999999996,32,12
5000,1000,"mfscreen0",0.00716666666666658,6.15457454897143e-05,0.00712499999999983,0.00724999999999998,8,12
500,5000,"mfscreen0",0.00353125,3.26395604916753e-05,0.00349999999999984,0.00356250000000014,16,12
2000,5000,"mfscreen0",0.0144791666666667,0.000167139480855363,0.0142499999999997,0.0147500000000003,4,12
5000,5000,"mfscreen0",0.036208333333333,0.000396480730549134,0.035499999999999,0.036999999999999,2,12
