"n","p","implementation","mean_seconds","sd_seconds","min_seconds","max_seconds","batch_calls","n_rep"
500,200,"mfscreen",0.000133463541666667,1.92330454655216e-06,0.000130859375,0.000138671875,512,12
2000,200,"mfscreen",0.000535156249999999,4.07994506146243e-06,0.000531249999999997,0.0005390625,128,12
5000,200,"mfscreen",0.00134114583333334,6.08202300126339e-06,0.001328125,0.00134375,64,12
500,1000,"mfscreen",0.000657552083333338,4.51054897804327e-06,0.000648437500000001,0.000664062500000007,128,12
2000,1000,"mfscreen",0.00268489583333332,2.08924351069229e-05,0.00265624999999997,0.00271874999999999,32,12
5000,1000,"mfscreen",0.00683333333333328,6.15457454896869e-05,0.00674999999999981,0.00687500000000019,8,12
500,5000,"mfscreen",0.00338020833333332,4.95600913186736e-05,0.00331250000000005,0.00350000000000006,16,12
2000,5000,"mfscreen",0.0138541666666666,0.000128732162636018,0.0137499999999999,0.0140000000000002,4,12
5000,5000,"mfscreen",0.0355000000000003,0.000426401432711363,0.0350000000000001,0.0365000000000002,2,12
500,200,"mfscreen2",0.000116373697916667,7.47023407401782e-06,9.96093750000003e-05,0.000126953124999999,512,12
2000,200,"mfscreen2",0.0001396484375,1.01998626536576e-06,0.000138671874999999,0.000140625,512,12
5000,200,"mfscreen2",0.000222005208333333,2.25527448902e-06,0.000218750000000004,0.000226562499999999,256,12
500,1000,"mfscreen2",0.000148437500000001,8.32815298263642e-07,0.000146484375000002,0.000150390625,512,12
2000,1000,"mfscreen2",0.000338216145833332,3.09750570741783e-06,0.000335937499999994,0.000343750000000004,256,12
5000,1000,"mfscreen2",0.000683593750000003,5.26718642548929e-06,0.000671875000000016,0.000687500000000008,128,12
500,5000,"mfscreen2",0.000394856770833331,3.89142546833806e-06,0.000390625000000006,0.000402343749999992,256,12
2000,5000,"mfscreen2",0.00131510416666667,5.68595966487597e-05,0.00128125000000001,0.00148437499999998,64,12
5000,5000,"mfscreen2",0.00310937500000001,5.57426615634735e-05,0.00303125000000004,0.00324999999999998,32,12
