"n","p","replication","implementation","time_seconds","batch_calls"
500,200,1,"mfscreen",0.000134765625,512
500,200,2,"mfscreen",0.000138671875,512
500,200,3,"mfscreen",0.000134765625,512
500,200,4,"mfscreen",0.000132812499999999,512
500,200,5,"mfscreen",0.000132812499999999,512
500,200,6,"mfscreen",0.0001328125,512
500,200,7,"mfscreen",0.000130859375,512
500,200,8,"mfscreen",0.0001328125,512
500,200,9,"mfscreen",0.0001328125,512
500,200,10,"mfscreen",0.000132812499999999,512
500,200,11,"mfscreen",0.0001328125,512
500,200,12,"mfscreen",0.0001328125,512
500,200,1,"mfscreen",0.0001171875,512
500,200,2,"mfscreen",0.000113281250000001,512
500,200,3,"mfscreen",0.000119140625000001,512
500,200,4,"mfscreen",0.000115234374999999,512
500,200,5,"mfscreen",0.000125,512
500,200,6,"mfscreen",0.000126953124999999,512
500,200,7,"mfscreen",0.000115234375,512
500,200,8,"mfscreen",0.000121093750000001,512
500,200,9,"mfscreen",9.96093750000003e-05,512
500,200,10,"mfscreen",0.000107421875000001,512
500,200,11,"mfscreen",0.000115234375,512
500,200,12,"mfscreen",0.000121093750000001,512
2000,200,1,"mfscreen",0.000531249999999997,128
2000,200,2,"mfscreen",0.000531249999999997,128
2000,200,3,"mfscreen",0.0005390625,128
2000,200,4,"mfscreen",0.0005390625,128
2000,200,5,"mfscreen",0.0005390625,128
2000,200,6,"mfscreen",0.0005390625,128
2000,200,7,"mfscreen",0.000531249999999997,128
2000,200,8,"mfscreen",0.000531249999999997,128
2000,200,9,"mfscreen",0.0005390625,128
2000,200,10,"mfscreen",0.0005390625,128
2000,200,11,"mfscreen",0.000531249999999997,128
2000,200,12,"mfscreen",0.000531250000000004,128
2000,200,1,"mfscreen",0.000140625,512
2000,200,2,"mfscreen",0.000138671874999999,512
2000,200,3,"mfscreen",0.000140625,512
2000,200,4,"mfscreen",0.000138671874999999,512
2000,200,5,"mfscreen",0.000138671874999999,512
2000,200,6,"mfscreen",0.000140625,512
2000,200,7,"mfscreen",0.000140625,512
2000,200,8,"mfscreen",0.000140625,512
2000,200,9,"mfscreen",0.000138671874999999,512
2000,200,10,"mfscreen",0.000140625,512
2000,200,11,"mfscreen",0.000138671874999999,512
2000,200,12,"mfscreen",0.000138671874999999,512
5000,200,1,"mfscreen",0.00134375,64
5000,200,2,"mfscreen",0.001328125,64
5000,200,3,"mfscreen",0.00134375,64
5000,200,4,"mfscreen",0.001328125,64
5000,200,5,"mfscreen",0.00134375,64
5000,200,6,"mfscreen",0.00134375,64
5000,200,7,"mfscreen",0.00134374999999999,64
5000,200,8,"mfscreen",0.00134375,64
5000,200,9,"mfscreen",0.00134375,64
5000,200,10,"mfscreen",0.00134375,64
5000,200,11,"mfscreen",0.00134375,64
5000,200,12,"mfscreen",0.00134375,64
5000,200,1,"mfscreen",0.000222656250000001,256
5000,200,2,"mfscreen",0.000222656249999995,256
5000,200,3,"mfscreen",0.000222656250000001,256
5000,200,4,"mfscreen",0.000222656249999995,256
5000,200,5,"mfscreen",0.000222656249999995,256
5000,200,6,"mfscreen",0.000222656249999995,256
5000,200,7,"mfscreen",0.000222656250000001,256
5000,200,8,"mfscreen",0.000218750000000004,256
5000,200,9,"mfscreen",0.000218750000000004,256
5000,200,10,"mfscreen",0.000222656250000001,256
5000,200,11,"mfscreen",0.000218750000000004,256
5000,200,12,"mfscreen",0.000226562499999999,256
500,1000,1,"mfscreen",0.000648437500000001,128
500,1000,2,"mfscreen",0.000656250000000011,128
500,1000,3,"mfscreen",0.000664062500000007,128
500,1000,4,"mfscreen",0.000656249999999997,128
500,1000,5,"mfscreen",0.000656250000000011,128
500,1000,6,"mfscreen",0.000656250000000011,128
500,1000,7,"mfscreen",0.000656249999999997,128
500,1000,8,"mfscreen",0.000656249999999997,128
500,1000,9,"mfscreen",0.000656250000000011,128
500,1000,10,"mfscreen",0.000664062499999993,128
500,1000,11,"mfscreen",0.000656250000000011,128
500,1000,12,"mfscreen",0.000664062500000007,128
500,1000,1,"mfscreen",0.000148437500000001,512
500,1000,2,"mfscreen",0.000148437500000001,512
500,1000,3,"mfscreen",0.000148437500000001,512
500,1000,4,"mfscreen",0.000148437500000001,512
500,1000,5,"mfscreen",0.000148437500000001,512
500,1000,6,"mfscreen",0.000146484375000002,512
500,1000,7,"mfscreen",0.000148437500000001,512
500,1000,8,"mfscreen",0.000148437500000001,512
500,1000,9,"mfscreen",0.000148437500000001,512
500,1000,10,"mfscreen",0.000148437499999998,512
500,1000,11,"mfscreen",0.000150390625,512
500,1000,12,"mfscreen",0.000148437500000001,512
2000,1000,1,"mfscreen",0.00268750000000001,32
2000,1000,2,"mfscreen",0.00268749999999995,32
2000,1000,3,"mfscreen",0.00265624999999997,32
2000,1000,4,"mfscreen",0.00268749999999995,32
2000,1000,5,"mfscreen",0.00268749999999995,32
2000,1000,6,"mfscreen",0.00268750000000001,32
2000,1000,7,"mfscreen",0.00268750000000001,32
2000,1000,8,"mfscreen",0.00265624999999997,32
2000,1000,9,"mfscreen",0.00271874999999999,32
2000,1000,10,"mfscreen",0.00271874999999999,32
2000,1000,11,"mfscreen",0.00265625000000003,32
2000,1000,12,"mfscreen",0.00268750000000001,32
2000,1000,1,"mfscreen",0.000339843749999999,256
2000,1000,2,"mfscreen",0.000335937499999994,256
2000,1000,3,"mfscreen",0.000335937499999994,256
2000,1000,4,"mfscreen",0.000335937500000001,256
2000,1000,5,"mfscreen",0.000335937500000001,256
2000,1000,6,"mfscreen",0.000339843749999999,256
2000,1000,7,"mfscreen",0.000335937499999994,256
2000,1000,8,"mfscreen",0.000339843749999999,256
2000,1000,9,"mfscreen",0.000343750000000004,256
2000,1000,10,"mfscreen",0.000335937500000001,256
2000,1000,11,"mfscreen",0.000343749999999997,256
2000,1000,12,"mfscreen",0.000335937500000001,256
5000,1000,1,"mfscreen",0.00687499999999996,8
5000,1000,2,"mfscreen",0.00687499999999996,8
5000,1000,3,"mfscreen",0.00687499999999996,8
5000,1000,4,"mfscreen",0.00675000000000003,8
5000,1000,5,"mfscreen",0.00687499999999996,8
5000,1000,6,"mfscreen",0.00687500000000019,8
