"method","replication","q","fpr"
"mfscreen",1,0.001,0.002
"mfscreen",1,0.005,0.006
"mfscreen",1,0.01,0.011
"mfscreen",1,0.025,0.026
"mfscreen",1,0.05,0.05
"mfscreen",1,0.1,0.098
"mfscreen",1,0.2,0.215
"mfscreen",1,0.3,0.329
"Pearson SIS",1,0.001,0.033
"Pearson SIS",1,0.005,0.077
"Pearson SIS",1,0.01,0.114
"Pearson SIS",1,0.025,0.184
"Pearson SIS",1,0.05,0.237
"Pearson SIS",1,0.1,0.32
"Pearson SIS",1,0.2,0.431
"Pearson SIS",1,0.3,0.522
"Spearman SIS",1,0.001,0.003
"Spearman SIS",1,0.005,0.014
"Spearman SIS",1,0.01,0.02
"Spearman SIS",1,0.025,0.047
"Spearman SIS",1,0.05,0.079
"Spearman SIS",1,0.1,0.143
"Spearman SIS",1,0.2,0.247
"Spearman SIS",1,0.3,0.335
"mfscreen",2,0.001,0.001
"mfscreen",2,0.005,0.004
"mfscreen",2,0.01,0.008
"mfscreen",2,0.025,0.028
"mfscreen",2,0.05,0.051
"mfscreen",2,0.1,0.103
"mfscreen",2,0.2,0.217
"mfscreen",2,0.3,0.317
"Pearson SIS",2,0.001,0.039
"Pearson SIS",2,0.005,0.076
"Pearson SIS",2,0.01,0.108
"Pearson SIS",2,0.025,0.162
"Pearson SIS",2,0.05,0.223
"Pearson SIS",2,0.1,0.304
"Pearson SIS",2,0.2,0.423
"Pearson SIS",2,0.3,0.519
"Spearman SIS",2,0.001,0.005
"Spearman SIS",2,0.005,0.011
"Spearman SIS",2,0.01,0.018
"Spearman SIS",2,0.025,0.039
"Spearman SIS",2,0.05,0.07
"Spearman SIS",2,0.1,0.142
"Spearman SIS",2,0.2,0.256
"Spearman SIS",2,0.3,0.35
"mfscreen",3,0.001,0.001
"mfscreen",3,0.005,0.003
"mfscreen",3,0.01,0.008
"mfscreen",3,0.025,0.025
"mfscreen",3,0.05,0.051
"mfscreen",3,0.1,0.101
"mfscreen",3,0.2,0.195
"mfscreen",3,0.3,0.302
"Pearson SIS",3,0.001,0.036
"Pearson SIS",3,0.005,0.072
"Pearson SIS",3,0.01,0.096
"Pearson SIS",3,0.025,0.152
"Pearson SIS",3,0.05,0.203
"Pearson SIS",3,0.1,0.3
"Pearson SIS",3,0.2,0.419
"Pearson SIS",3,0.3,0.51
"Spearman SIS",3,0.001,0.006
"Spearman SIS",3,0.005,0.011
"Spearman SIS",3,0.01,0.017
"Spearman SIS",3,0.025,0.035
"Spearman SIS",3,0.05,0.074
"Spearman SIS",3,0.1,0.133
"Spearman SIS",3,0.2,0.246
"Spearman SIS",3,0.3,0.336
"mfscreen",4,0.001,0.001
"mfscreen",4,0.005,0.008
"mfscreen",4,0.01,0.012
"mfscreen",4,0.025,0.03
"mfscreen",4,0.05,0.058
"mfscreen",4,0.1,0.111
"mfscreen",4,0.2,0.211
