"method","q","fpr","fpr_sd","inflation"
"mfscreen",0.001,0.00117,0.00099549490255355,1.17
"mfscreen",0.005,0.00547,0.00235039218734734,1.094
"mfscreen",0.01,0.01096,0.00311697859401626,1.096
"mfscreen",0.025,0.0276,0.0053729588560389,1.104
"mfscreen",0.05,0.05402,0.00680757154226309,1.0804
"mfscreen",0.1,0.10537,0.00959340577393838,1.0537
"mfscreen",0.2,0.20706,0.0135555870176817,1.0353
"mfscreen",0.3,0.30739,0.0156810990905252,1.02463333333333
"Pearson SIS",0.001,0.04338,0.0175175409925093,43.38
"Pearson SIS",0.005,0.08437,0.0255452282602581,16.874
"Pearson SIS",0.01,0.11305,0.0299721672236228,11.305
"Pearson SIS",0.025,0.16691,0.0353453653041647,6.6764
"Pearson SIS",0.05,0.22494,0.0386880348480514,4.4988
"Pearson SIS",0.1,0.3075,0.0386623560815657,3.075
"Pearson SIS",0.2,0.42532,0.0354488905099135,2.1266
"Pearson SIS",0.3,0.51909,0.0327824463376178,1.7303
"Spearman SIS",0.001,0.00255,0.00144512416019657,2.55
"Spearman SIS",0.005,0.00985,0.0031538816872181,1.97
"Spearman SIS",0.01,0.01787,0.00374881799553357,1.787
"Spearman SIS",0.025,0.03948,0.00614222017570753,1.5792
"Spearman SIS",0.05,0.0725,0.00801198597052686,1.45
"Spearman SIS",0.1,0.1322,0.0108980583943965,1.322
"Spearman SIS",0.2,0.24189,0.0122539583380023,1.20945
"Spearman SIS",0.3,0.34475,0.0134324911383488,1.14916666666667
