"model","method","replication","q","fpr","ssp"
"Parametric linear","mfscreen",1,0.001,0.00301507537688442,0
"Parametric linear","mfscreen",1,0.005,0.0050251256281407,0
"Parametric linear","mfscreen",1,0.01,0.0100502512562814,0
"Parametric linear","mfscreen",1,0.025,0.0231155778894472,0
"Parametric linear","mfscreen",1,0.05,0.0522613065326633,0
"Parametric linear","mfscreen",1,0.1,0.0934673366834171,0
"Parametric linear","mfscreen",1,0.2,0.191959798994975,0
"Parametric linear","mfscreen",1,0.3,0.303517587939699,1
"Parametric linear","Pearson SIS",1,0.001,0.00301507537688442,0
"Parametric linear","Pearson SIS",1,0.005,0.00603015075376884,0
"Parametric linear","Pearson SIS",1,0.01,0.00904522613065327,0
"Parametric linear","Pearson SIS",1,0.025,0.0231155778894472,0
"Parametric linear","Pearson SIS",1,0.05,0.050251256281407,0
"Parametric linear","Pearson SIS",1,0.1,0.092462311557789,0
"Parametric linear","Pearson SIS",1,0.2,0.191959798994975,0
"Parametric linear","Pearson SIS",1,0.3,0.301507537688442,1
"Parametric linear","Spearman SIS",1,0.001,0.00100502512562814,0
"Parametric linear","Spearman SIS",1,0.005,0.0050251256281407,0
"Parametric linear","Spearman SIS",1,0.01,0.00904522613065327,0
"Parametric linear","Spearman SIS",1,0.025,0.0221105527638191,0
"Parametric linear","Spearman SIS",1,0.05,0.050251256281407,0
"Parametric linear","Spearman SIS",1,0.1,0.10251256281407,0
"Parametric linear","Spearman SIS",1,0.2,0.207035175879397,1
"Parametric linear","Spearman SIS",1,0.3,0.295477386934673,1
"Parametric linear","mfscreen",2,0.001,0,0
"Parametric linear","mfscreen",2,0.005,0.00603015075376884,0
"Parametric linear","mfscreen",2,0.01,0.0100502512562814,0
"Parametric linear","mfscreen",2,0.025,0.0281407035175879,1
"Parametric linear","mfscreen",2,0.05,0.0552763819095477,1
"Parametric linear","mfscreen",2,0.1,0.103517587939698,1
"Parametric linear","mfscreen",2,0.2,0.210050251256281,1
"Parametric linear","mfscreen",2,0.3,0.323618090452261,1
"Parametric linear","Pearson SIS",2,0.001,0,0
"Parametric linear","Pearson SIS",2,0.005,0.00703517587939699,0
"Parametric linear","Pearson SIS",2,0.01,0.0100502512562814,0
"Parametric linear","Pearson SIS",2,0.025,0.0281407035175879,1
"Parametric linear","Pearson SIS",2,0.05,0.057286432160804,1
"Parametric linear","Pearson SIS",2,0.1,0.100502512562814,1
"Parametric linear","Pearson SIS",2,0.2,0.207035175879397,1
"Parametric linear","Pearson SIS",2,0.3,0.326633165829146,1
"Parametric linear","Spearman SIS",2,0.001,0,0
"Parametric linear","Spearman SIS",2,0.005,0.0050251256281407,0
"Parametric linear","Spearman SIS",2,0.01,0.0120603015075377,0
"Parametric linear","Spearman SIS",2,0.025,0.0251256281407035,1
"Parametric linear","Spearman SIS",2,0.05,0.0512562814070352,1
"Parametric linear","Spearman SIS",2,0.1,0.0954773869346734,1
"Parametric linear","Spearman SIS",2,0.2,0.21105527638191,1
"Parametric linear","Spearman SIS",2,0.3,0.318592964824121,1
"Parametric linear","mfscreen",3,0.001,0,0
"Parametric linear","mfscreen",3,0.005,0.00402010050251256,0
"Parametric linear","mfscreen",3,0.01,0.0100502512562814,0
"Parametric linear","mfscreen",3,0.025,0.0311557788944724,0
"Parametric linear","mfscreen",3,0.05,0.0552763819095477,0
"Parametric linear","mfscreen",3,0.1,0.0974874371859296,0
"Parametric linear","mfscreen",3,0.2,0.182914572864322,1
"Parametric linear","mfscreen",3,0.3,0.285427135678392,1
"Parametric linear","Pearson SIS",3,0.001,0,0
"Parametric linear","Pearson SIS",3,0.005,0.00301507537688442,0
"Parametric linear","Pearson SIS",3,0.01,0.00904522613065327,0
"Parametric linear","Pearson SIS",3,0.025,0.0271356783919598,0
"Parametric linear","Pearson SIS",3,0.05,0.0522613065326633,0
"Parametric linear","Pearson SIS",3,0.1,0.100502512562814,0
"Parametric linear","Pearson SIS",3,0.2,0.180904522613065,1
"Parametric linear","Pearson SIS",3,0.3,0.280402010050251,1
"Parametric linear","Spearman SIS",3,0.001,0.00201005025125628,0
"Parametric linear","Spearman SIS",3,0.005,0.0050251256281407,0
"Parametric linear","Spearman SIS",3,0.01,0.00904522613065327,0
"Parametric linear","Spearman SIS",3,0.025,0.0271356783919598,0
"Parametric linear","Spearman SIS",3,0.05,0.0482412060301508,0
"Parametric linear","Spearman SIS",3,0.1,0.0894472361809045,0
"Parametric linear","Spearman SIS",3,0.2,0.1678391959799,1
"Parametric linear","Spearman SIS",3,0.3,0.281407035175879,1
"Parametric linear","mfscreen",4,0.001,0.00100502512562814,0
"Parametric linear","mfscreen",4,0.005,0.0050251256281407,0
"Parametric linear","mfscreen",4,0.01,0.00904522613065327,1
"Parametric linear","mfscreen",4,0.025,0.0231155778894472,1
"Parametric linear","mfscreen",4,0.05,0.0452261306532663,1
"Parametric linear","mfscreen",4,0.1,0.103517587939698,1
"Parametric linear","mfscreen",4,0.2,0.218090452261307,1
"Parametric linear","mfscreen",4,0.3,0.304522613065327,1
"Parametric linear","Pearson SIS",4,0.001,0.00100502512562814,0
"Parametric linear","Pearson SIS",4,0.005,0.00402010050251256,1
"Parametric linear","Pearson SIS",4,0.01,0.00804020100502513,1
