"model","method","q","fpr","ssp","fpr_sd","ssp_sd"
"Nonparametric nonlinear","mfscreen",0.001,0.00106532663316583,0.65,0.00102830754913812,0.479372485441102
"Nonparametric nonlinear","mfscreen",0.005,0.00490452261306533,0.78,0.00240426468118294,0.416333199893226
"Nonparametric nonlinear","mfscreen",0.01,0.00993969849246231,0.81,0.00320977695552803,0.394277244403662
"Nonparametric nonlinear","mfscreen",0.025,0.02478391959799,0.88,0.00562614625265815,0.326598632371091
"Nonparametric nonlinear","mfscreen",0.05,0.0500301507537688,0.95,0.00764681508970506,0.21904291355759
"Nonparametric nonlinear","mfscreen",0.1,0.100331658291457,1,0.0106993619433942,0
"Nonparametric nonlinear","mfscreen",0.2,0.201065326633166,1,0.014693100840755,0
"Nonparametric nonlinear","mfscreen",0.3,0.30113567839196,1,0.0169162825034994,0
"Nonparametric nonlinear","Pearson SIS",0.001,0.000944723618090452,0.67,0.00100826845838511,0.472581562625261
"Nonparametric nonlinear","Pearson SIS",0.005,0.00473366834170854,0.78,0.00226896941437012,0.416333199893226
"Nonparametric nonlinear","Pearson SIS",0.01,0.00961809045226131,0.82,0.00312395003696536,0.386122919665369
"Nonparametric nonlinear","Pearson SIS",0.025,0.0242613065326633,0.87,0.00544889954339662,0.337997668989631
"Nonparametric nonlinear","Pearson SIS",0.05,0.0497286432160804,0.94,0.00760654806649946,0.238683256575942
"Nonparametric nonlinear","Pearson SIS",0.1,0.0997788944723618,1,0.0106554305455843,0
"Nonparametric nonlinear","Pearson SIS",0.2,0.1998391959799,1,0.0140976769914464,0
"Nonparametric nonlinear","Pearson SIS",0.3,0.299738693467337,1,0.0169394661611169,0
"Nonparametric nonlinear","Spearman SIS",0.001,0.00092462311557789,0.63,0.000996665911553815,0.48523658709391
"Nonparametric nonlinear","Spearman SIS",0.005,0.00471356783919598,0.79,0.00191488332074553,0.409360180740333
"Nonparametric nonlinear","Spearman SIS",0.01,0.00978894472361809,0.85,0.00293315438033856,0.358870281282637
"Nonparametric nonlinear","Spearman SIS",0.025,0.0247035175879397,0.92,0.0053088378446942,0.272659924344291
"Nonparametric nonlinear","Spearman SIS",0.05,0.0503819095477387,0.97,0.00748645771462584,0.171446607997766
"Nonparametric nonlinear","Spearman SIS",0.1,0.100733668341709,1,0.00972506238054708,0
"Nonparametric nonlinear","Spearman SIS",0.2,0.20156783919598,1,0.0136816221308479,0
"Nonparametric nonlinear","Spearman SIS",0.3,0.3001608040201,1,0.0166876974027684,0
"Parametric linear","mfscreen",0.001,0.00114572864321608,0.04,0.0010102902539955,0.196946385566932
"Parametric linear","mfscreen",0.005,0.00550753768844221,0.15,0.00231871914123426,0.358870281282637
"Parametric linear","mfscreen",0.01,0.010643216080402,0.26,0.00318488691975432,0.440844002276808
"Parametric linear","mfscreen",0.025,0.0263417085427136,0.44,0.0044588160595884,0.498887651569859
"Parametric linear","mfscreen",0.05,0.0514673366834171,0.58,0.00648708687753511,0.496044963748858
"Parametric linear","mfscreen",0.1,0.10208040201005,0.73,0.00886723452597929,0.446196043338474
"Parametric linear","mfscreen",0.2,0.201587939698492,0.88,0.0109081862248315,0.326598632371091
"Parametric linear","mfscreen",0.3,0.302010050251256,0.96,0.0127235040629631,0.196946385566932
"Parametric linear","Pearson SIS",0.001,0.0011356783919598,0.04,0.00102666912745569,0.196946385566932
"Parametric linear","Pearson SIS",0.005,0.00521608040201005,0.16,0.00221619440505434,0.368452949177471
"Parametric linear","Pearson SIS",0.01,0.0103517587939698,0.25,0.00304537840338035,0.435194139889245
"Parametric linear","Pearson SIS",0.025,0.0259095477386935,0.45,0.00432237525696104,0.5
"Parametric linear","Pearson SIS",0.05,0.0509547738693467,0.59,0.00642578106027413,0.49431107042371
"Parametric linear","Pearson SIS",0.1,0.101226130653266,0.73,0.00858287391814298,0.446196043338474
"Parametric linear","Pearson SIS",0.2,0.200532663316583,0.88,0.0104703382744141,0.326598632371091
"Parametric linear","Pearson SIS",0.3,0.301628140703518,0.96,0.0130009620573943,0.196946385566932
"Parametric linear","Spearman SIS",0.001,0.00101507537688442,0.02,0.000952861819318452,0.14070529413629
"Parametric linear","Spearman SIS",0.005,0.00538693467336683,0.07,0.00224739529834733,0.256432399976243
"Parametric linear","Spearman SIS",0.01,0.0104422110552764,0.18,0.00285658602244543,0.38612291966537
"Parametric linear","Spearman SIS",0.025,0.0257386934673367,0.37,0.0042107355683238,0.48523658709391
"Parametric linear","Spearman SIS",0.05,0.051286432160804,0.47,0.00695048621262047,0.501613558046592
"Parametric linear","Spearman SIS",0.1,0.100974874371859,0.68,0.00897041973191166,0.46882617226215
"Parametric linear","Spearman SIS",0.2,0.200020100502513,0.85,0.0115706745083473,0.358870281282637
"Parametric linear","Spearman SIS",0.3,0.300854271356784,0.94,0.0131578292911972,0.238683256575942
