"model","method","q","fpr","ssp","fpr_sd","ssp_sd"
"Nonparametric nonlinear","mfscreen",0.001,0.00147403685092127,0.233333333333333,0.00124685909295318,0.424369515232437
"Nonparametric nonlinear","mfscreen",0.005,0.00619095477386935,0.426666666666667,0.00214728321282875,0.496249918995367
"Nonparametric nonlinear","mfscreen",0.01,0.0119195979899497,0.486666666666667,0.00320584100651224,0.501496641496
"Nonparametric nonlinear","mfscreen",0.025,0.0282479061976549,0.633333333333333,0.00498128890244982,0.483508800981325
"Nonparametric nonlinear","mfscreen",0.05,0.0545929648241206,0.733333333333333,0.00735257271797396,0.443698105640024
"Nonparametric nonlinear","mfscreen",0.1,0.106472361809045,0.806666666666667,0.00995688989227532,0.396235078124672
"Nonparametric nonlinear","mfscreen",0.2,0.20820770519263,0.893333333333333,0.0133679050660686,0.309723120921105
"Nonparametric nonlinear","mfscreen",0.3,0.308743718592965,0.926666666666667,0.0155754414236101,0.26155617582007
"Nonparametric nonlinear","Pearson SIS",0.001,0.00112562814070352,0.233333333333333,0.00100110530319534,0.424369515232437
"Nonparametric nonlinear","Pearson SIS",0.005,0.00500502512562814,0.406666666666667,0.00212312231303582,0.492857258650942
"Nonparametric nonlinear","Pearson SIS",0.01,0.00990284757118928,0.473333333333333,0.00279304980368181,0.500961045072459
"Nonparametric nonlinear","Pearson SIS",0.025,0.0253266331658291,0.6,0.00450063798862525,0.491539152311424
"Nonparametric nonlinear","Pearson SIS",0.05,0.0502244556113903,0.706666666666667,0.00682530384613494,0.456815158992626
"Nonparametric nonlinear","Pearson SIS",0.1,0.101112227805695,0.806666666666667,0.0099940397386583,0.396235078124672
"Nonparametric nonlinear","Pearson SIS",0.2,0.202311557788945,0.9,0.0133878366275607,0.301005027940793
"Nonparametric nonlinear","Pearson SIS",0.3,0.303028475711893,0.926666666666667,0.0150205230792428,0.26155617582007
"Nonparametric nonlinear","Spearman SIS",0.001,0.000931323283082077,0.2,0.000939459707186601,0.40134003725439
"Nonparametric nonlinear","Spearman SIS",0.005,0.00493802345058627,0.366666666666667,0.00200307943290429,0.483508800981325
"Nonparametric nonlinear","Spearman SIS",0.01,0.0101306532663317,0.413333333333333,0.00264631996950322,0.494081300087543
"Nonparametric nonlinear","Spearman SIS",0.025,0.0255209380234506,0.54,0.00470664102809649,0.500067109590263
"Nonparametric nonlinear","Spearman SIS",0.05,0.0504924623115578,0.673333333333333,0.00703052983797842,0.470565369887975
"Nonparametric nonlinear","Spearman SIS",0.1,0.101092127303183,0.76,0.00961252894767211,0.42851389834383
"Nonparametric nonlinear","Spearman SIS",0.2,0.201366834170854,0.886666666666667,0.0130106180065092,0.31806180368282
"Nonparametric nonlinear","Spearman SIS",0.3,0.302043551088777,0.926666666666667,0.0143879639136138,0.26155617582007
"Parametric linear","mfscreen",0.001,0.00143383584589615,0.913333333333333,0.00113099858949514,0.282288506487343
"Parametric linear","mfscreen",0.005,0.00630485762144054,0.973333333333333,0.00211488981917083,0.161647004039632
"Parametric linear","mfscreen",0.01,0.0115443886097152,0.98,0.0030646640271087,0.140469013039037
"Parametric linear","mfscreen",0.025,0.0283886097152429,0.993333333333333,0.0046560154611221,0.0816496580927724
"Parametric linear","mfscreen",0.05,0.0547068676716918,1,0.00665581194635847,0
"Parametric linear","mfscreen",0.1,0.104603015075377,1,0.00947639617776179,0
"Parametric linear","mfscreen",0.2,0.207443886097152,1,0.0122687773503154,0
"Parametric linear","mfscreen",0.3,0.306318257956449,1,0.0135743138135267,0
"Parametric linear","Pearson SIS",0.001,0.00100502512562814,0.906666666666667,0.000967215679513622,0.291873528432355
"Parametric linear","Pearson SIS",0.005,0.00503852596314908,0.966666666666667,0.00187747568333936,0.180106853693033
"Parametric linear","Pearson SIS",0.01,0.00982244556113903,0.98,0.00275088826450243,0.140469013039037
"Parametric linear","Pearson SIS",0.025,0.02507202680067,0.986666666666667,0.00450633799888646,0.115081918104976
"Parametric linear","Pearson SIS",0.05,0.0504388609715243,1,0.00607203498010991,0
"Parametric linear","Pearson SIS",0.1,0.0996180904522613,1,0.00921335616377568,0
"Parametric linear","Pearson SIS",0.2,0.201547738693467,1,0.0122872919975015,0
"Parametric linear","Pearson SIS",0.3,0.301139028475712,1,0.0133770299746779,0
"Parametric linear","Spearman SIS",0.001,0.00106532663316583,0.853333333333333,0.000961803755531468,0.354958484512019
"Parametric linear","Spearman SIS",0.005,0.00505862646566164,0.933333333333333,0.00189698055070322,0.250279485833503
"Parametric linear","Spearman SIS",0.01,0.0102713567839196,0.973333333333333,0.00260852138106513,0.161647004039632
"Parametric linear","Spearman SIS",0.025,0.025286432160804,0.973333333333333,0.00419031895217541,0.161647004039632
"Parametric linear","Spearman SIS",0.05,0.0509011725293132,0.993333333333333,0.00649677574646466,0.0816496580927724
"Parametric linear","Spearman SIS",0.1,0.100469011725293,1,0.00843393350019513,0
"Parametric linear","Spearman SIS",0.2,0.201025125628141,1,0.0127395586977599,0
"Parametric linear","Spearman SIS",0.3,0.3001608040201,1,0.0134570690899631,0
