"scenario","method","replication","q","fpr","ssp","selected_count"
"Clean homoskedastic","mfscreen",1,0.001,0,1,5
"Clean homoskedastic","mfscreen",1,0.005,0.00603015075376884,1,11
"Clean homoskedastic","mfscreen",1,0.01,0.014070351758794,1,19
"Clean homoskedastic","mfscreen",1,0.025,0.0361809045226131,1,41
"Clean homoskedastic","mfscreen",1,0.05,0.0582914572864322,1,63
"Clean homoskedastic","mfscreen",1,0.1,0.107537688442211,1,112
"Clean homoskedastic","mfscreen",1,0.2,0.194974874371859,1,199
"Clean homoskedastic","mfscreen",1,0.3,0.296482412060302,1,300
"Clean homoskedastic","Pearson SIS",1,0.001,0,1,5
"Clean homoskedastic","Pearson SIS",1,0.005,0.00402010050251256,1,9
"Clean homoskedastic","Pearson SIS",1,0.01,0.014070351758794,1,19
"Clean homoskedastic","Pearson SIS",1,0.025,0.0331658291457286,1,38
"Clean homoskedastic","Pearson SIS",1,0.05,0.0582914572864322,1,63
"Clean homoskedastic","Pearson SIS",1,0.1,0.104522613065327,1,109
"Clean homoskedastic","Pearson SIS",1,0.2,0.18894472361809,1,193
"Clean homoskedastic","Pearson SIS",1,0.3,0.29748743718593,1,301
"Clean homoskedastic","Spearman SIS",1,0.001,0.00100502512562814,1,6
"Clean homoskedastic","Spearman SIS",1,0.005,0.00402010050251256,1,9
"Clean homoskedastic","Spearman SIS",1,0.01,0.00804020100502513,1,13
"Clean homoskedastic","Spearman SIS",1,0.025,0.0231155778894472,1,28
"Clean homoskedastic","Spearman SIS",1,0.05,0.050251256281407,1,55
"Clean homoskedastic","Spearman SIS",1,0.1,0.0944723618090452,1,99
"Clean homoskedastic","Spearman SIS",1,0.2,0.196984924623116,1,201
"Clean homoskedastic","Spearman SIS",1,0.3,0.299497487437186,1,303
"Clean homoskedastic","mfscreen",2,0.001,0,1,5
"Clean homoskedastic","mfscreen",2,0.005,0.00603015075376884,1,11
"Clean homoskedastic","mfscreen",2,0.01,0.0170854271356784,1,22
"Clean homoskedastic","mfscreen",2,0.025,0.0351758793969849,1,40
"Clean homoskedastic","mfscreen",2,0.05,0.050251256281407,1,55
"Clean homoskedastic","mfscreen",2,0.1,0.101507537688442,1,106
