"scenario","method","q","fpr","ssp","selected_count","fpr_sd","ssp_sd","selected_count_sd","fpr_inflation"
"Clean homoskedastic","mfscreen",0.001,0.00112562814070352,0.953333333333333,6.07333333333333,0.000987469344939912,0.211630508282228,0.98373802008971,1.12562814070352
"Clean homoskedastic","mfscreen",0.005,0.00557453936348409,0.986666666666667,10.5333333333333,0.00222939547522534,0.115081918104976,2.20939624498138,1.11490787269682
"Clean homoskedastic","mfscreen",0.01,0.0105996649916248,0.993333333333333,15.54,0.00297680492015129,0.0816496580927723,2.95521379778249,1.05996649916248
"Clean homoskedastic","mfscreen",0.025,0.0255276381909548,0.993333333333333,30.3933333333333,0.00511404913920284,0.0816496580927723,5.08042257221821,1.02110552763819
"Clean homoskedastic","mfscreen",0.05,0.051463986599665,1,56.2066666666667,0.0065333602766948,0,6.50069347531133,1.0292797319933
"Clean homoskedastic","mfscreen",0.1,0.101507537688442,1,106,0.00928232051414074,0,9.23590891157004,1.01507537688442
"Clean homoskedastic","mfscreen",0.2,0.20227135678392,1,206.26,0.0125145909307834,0,12.4520179761295,1.0113567839196
"Clean homoskedastic","mfscreen",0.3,0.303222780569514,1,306.706666666667,0.0148365266508844,0,14.7623440176299,1.01074260189838
"Clean homoskedastic","Pearson SIS",0.001,0.000944723618090452,0.946666666666667,5.88666666666667,0.000954729492426809,0.225450084258512,0.966114939364173,0.944723618090452
"Clean homoskedastic","Pearson SIS",0.005,0.00523953098827471,0.986666666666667,10.2,0.00226259648409718,0.115081918104976,2.24355901348279,1.04790619765494
"Clean homoskedastic","Pearson SIS",0.01,0.0100100502512563,0.993333333333333,14.9533333333333,0.00306940141427299,0.0816496580927723,3.04625783559023,1.00100502512563
"Clean homoskedastic","Pearson SIS",0.025,0.0247638190954774,0.993333333333333,29.6333333333333,0.00490605274600607,0.0816496580927723,4.87207722284083,0.990552763819095
"Clean homoskedastic","Pearson SIS",0.05,0.0501842546063652,1,54.9333333333333,0.00603539468982118,0,6.00521771637208,1.0036850921273
"Clean homoskedastic","Pearson SIS",0.1,0.100174204355109,1,104.673333333333,0.00937858581784324,0,9.33169288875402,1.00174204355109
"Clean homoskedastic","Pearson SIS",0.2,0.200670016750419,1,204.666666666667,0.0125779365548515,0,12.5150468720773,1.00335008375209
"Clean homoskedastic","Pearson SIS",0.3,0.301507537688442,1,305,0.0145301795325362,0,14.4575286348735,1.00502512562814
"Clean homoskedastic","Spearman SIS",0.001,0.00097822445561139,0.933333333333333,5.90666666666667,0.00104760670076062,0.250279485833503,1.09511831156779,0.97822445561139
"Clean homoskedastic","Spearman SIS",0.005,0.0048643216080402,0.973333333333333,9.81333333333333,0.00222785429677597,0.161647004039633,2.22066761430968,0.97286432160804
"Clean homoskedastic","Spearman SIS",0.01,0.00984254606365159,0.986666666666667,14.78,0.00302584087897817,0.115081918104976,3.00082762633128,0.984254606365159
