"replication","method","target_fdr","rule","tpr","fpr","fdr","selected_count","ssp"
1,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00100806451612903,0.111111111111111,9,1
1,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
1,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
1,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
2,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00201612903225806,0.2,10,1
2,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
2,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
2,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
3,"mfscreen",0.2,"mfscreen q = 0.00161",0.875,0.00100806451612903,0.125,8,0
3,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
3,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
3,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
4,"mfscreen",0.2,"mfscreen q = 0.00161",1,0,0,8,1
4,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
4,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
4,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
5,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00201612903225806,0.2,10,1
5,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
5,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
5,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
6,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00201612903225806,0.2,10,1
6,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
6,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
6,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
7,"mfscreen",0.2,"mfscreen q = 0.00161",1,0,0,8,1
7,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
7,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
7,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
8,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00403225806451613,0.333333333333333,12,1
8,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
8,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
8,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
9,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00100806451612903,0.111111111111111,9,1
9,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
9,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
9,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
10,"mfscreen",0.2,"mfscreen q = 0.00161",1,0,0,8,1
10,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
10,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
10,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
11,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00100806451612903,0.111111111111111,9,1
11,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
11,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
11,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
12,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00201612903225806,0.2,10,1
12,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
12,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
12,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
13,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.0030241935483871,0.272727272727273,11,1
13,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
13,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
13,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
14,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.0030241935483871,0.272727272727273,11,1
14,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
14,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
14,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
15,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00201612903225806,0.2,10,1
15,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
15,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
15,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
16,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00201612903225806,0.2,10,1
16,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
16,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
16,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
17,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.0030241935483871,0.272727272727273,11,1
17,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
17,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
17,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
18,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00100806451612903,0.111111111111111,9,1
18,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
18,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
18,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
19,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.0030241935483871,0.272727272727273,11,1
19,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
19,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
19,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
20,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.0030241935483871,0.272727272727273,11,1
20,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
20,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
20,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
21,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00201612903225806,0.2,10,1
21,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
21,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
21,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
22,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00705645161290323,0.466666666666667,15,1
22,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
22,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
22,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
23,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00403225806451613,0.333333333333333,12,1
23,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
23,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
23,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
24,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00100806451612903,0.111111111111111,9,1
24,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
24,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
24,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
25,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.0030241935483871,0.272727272727273,11,1
25,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
25,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
25,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
26,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.00100806451612903,0.111111111111111,9,1
26,"Pearson SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
26,"Spearman SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
26,"Logistic SIS",0.2,"top 50",1,0.0423387096774194,0.84,50,1
27,"mfscreen",0.2,"mfscreen q = 0.00161",1,0.0030241935483871,0.272727272727273,11,1
