"replication","method","alpha","tpr","fpr","fdr","selected_count","ssp","covered"
1,"mfscreen",0.05,1,0.00100806451612903,0.111111111111111,9,1,0
1,"mfscreen",0.1,1,0.00100806451612903,0.111111111111111,9,1,0
1,"mfscreen",0.15,1,0.00201612903225806,0.2,10,1,0
1,"mfscreen",0.2,1,0.00201612903225806,0.2,10,1,1
1,"mfscreen",0.25,1,0.00504032258064516,0.384615384615385,13,1,0
1,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
1,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
1,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
1,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
1,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
1,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
1,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
1,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
1,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
1,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
1,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
1,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
1,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
1,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
1,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
2,"mfscreen",0.05,1,0.00100806451612903,0.111111111111111,9,1,0
2,"mfscreen",0.1,1,0.00100806451612903,0.111111111111111,9,1,0
2,"mfscreen",0.15,1,0.00100806451612903,0.111111111111111,9,1,1
2,"mfscreen",0.2,1,0.00100806451612903,0.111111111111111,9,1,1
2,"mfscreen",0.25,1,0.00100806451612903,0.111111111111111,9,1,1
2,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
2,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
2,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
2,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
2,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
2,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
2,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
2,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
2,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
2,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
2,"Logistic SIS",0.05,1,0.0423387096774194,0.84,50,1,0
2,"Logistic SIS",0.1,1,0.0423387096774194,0.84,50,1,0
2,"Logistic SIS",0.15,1,0.0423387096774194,0.84,50,1,0
2,"Logistic SIS",0.2,1,0.0423387096774194,0.84,50,1,0
2,"Logistic SIS",0.25,1,0.0423387096774194,0.84,50,1,0
3,"mfscreen",0.05,1,0.00100806451612903,0.111111111111111,9,1,0
3,"mfscreen",0.1,1,0.00100806451612903,0.111111111111111,9,1,0
3,"mfscreen",0.15,1,0.00100806451612903,0.111111111111111,9,1,1
3,"mfscreen",0.2,1,0.00100806451612903,0.111111111111111,9,1,1
3,"mfscreen",0.25,1,0.00100806451612903,0.111111111111111,9,1,1
3,"Pearson SIS",0.05,1,0.0423387096774194,0.84,50,1,0
3,"Pearson SIS",0.1,1,0.0423387096774194,0.84,50,1,0
3,"Pearson SIS",0.15,1,0.0423387096774194,0.84,50,1,0
3,"Pearson SIS",0.2,1,0.0423387096774194,0.84,50,1,0
3,"Pearson SIS",0.25,1,0.0423387096774194,0.84,50,1,0
3,"Spearman SIS",0.05,1,0.0423387096774194,0.84,50,1,0
3,"Spearman SIS",0.1,1,0.0423387096774194,0.84,50,1,0
3,"Spearman SIS",0.15,1,0.0423387096774194,0.84,50,1,0
3,"Spearman SIS",0.2,1,0.0423387096774194,0.84,50,1,0
3,"Spearman SIS",0.25,1,0.0423387096774194,0.84,50,1,0
