"n","p","replication","elapsed_seconds"
800,1000,1,2e-04
1600,1000,1,0.000300000000000011
3200,1000,1,0.000550000000000006
800,3000,1,4e-04
1600,3000,1,0.000750000000000006
3200,3000,1,0.00149999999999999
800,6000,1,0.000749999999999984
1600,6000,1,0.0014
3200,6000,1,0.00294999999999999
800,1000,2,2e-04
1600,1000,2,0.000300000000000011
3200,1000,2,0.000499999999999989
800,3000,2,4e-04
1600,3000,2,0.000749999999999984
3200,3000,2,0.00155000000000003
800,6000,2,0.000750000000000028
1600,6000,2,0.00139999999999998
3200,6000,2,0.00285000000000002
800,1000,3,0.000200000000000022
1600,1000,3,0.000300000000000011
3200,1000,3,0.000550000000000006
800,3000,3,4e-04
1600,3000,3,0.000749999999999984
3200,3000,3,0.00145
800,6000,3,0.000749999999999984
1600,6000,3,0.00145
3200,6000,3,0.0028
