"replication","method","parameter","parameter_label","fdr","fpr","tpr","ssp","selected_count"
1,"mfscreen",14,"top 14",0,0,1,1,14
1,"mfscreen",20,"top 20",0.3,0.00302114803625378,1,1,20
1,"mfscreen",30,"top 30",0.533333333333333,0.0080563947633434,1,1,30
1,"mfscreen",40,"top 40",0.65,0.013091641490433,1,1,40
1,"mfscreen",60,"top 60",0.766666666666667,0.0231621349446123,1,1,60
1,"mfscreen",80,"top 80",0.825,0.0332326283987915,1,1,80
1,"mfscreen",120,"top 120",0.883333333333333,0.05337361530715,1,1,120
1,"mfscreen",160,"top 160",0.9125,0.0735146022155086,1,1,160
1,"mfscreen",220,"top 220",0.936363636363636,0.103726082578046,1,1,220
1,"Pearson SIS",14,"top 14",0,0,1,1,14
1,"Pearson SIS",20,"top 20",0.3,0.00302114803625378,1,1,20
1,"Pearson SIS",30,"top 30",0.533333333333333,0.0080563947633434,1,1,30
1,"Pearson SIS",40,"top 40",0.65,0.013091641490433,1,1,40
1,"Pearson SIS",60,"top 60",0.766666666666667,0.0231621349446123,1,1,60
1,"Pearson SIS",80,"top 80",0.825,0.0332326283987915,1,1,80
1,"Pearson SIS",120,"top 120",0.883333333333333,0.05337361530715,1,1,120
1,"Pearson SIS",160,"top 160",0.9125,0.0735146022155086,1,1,160
1,"Pearson SIS",220,"top 220",0.936363636363636,0.103726082578046,1,1,220
1,"Spearman SIS",14,"top 14",0,0,1,1,14
1,"Spearman SIS",20,"top 20",0.3,0.00302114803625378,1,1,20
1,"Spearman SIS",30,"top 30",0.533333333333333,0.0080563947633434,1,1,30
1,"Spearman SIS",40,"top 40",0.65,0.013091641490433,1,1,40
1,"Spearman SIS",60,"top 60",0.766666666666667,0.0231621349446123,1,1,60
1,"Spearman SIS",80,"top 80",0.825,0.0332326283987915,1,1,80
1,"Spearman SIS",120,"top 120",0.883333333333333,0.05337361530715,1,1,120
1,"Spearman SIS",160,"top 160",0.9125,0.0735146022155086,1,1,160
1,"Spearman SIS",220,"top 220",0.936363636363636,0.103726082578046,1,1,220
1,"Poisson-score SIS",14,"top 14",0,0,1,1,14
1,"Poisson-score SIS",20,"top 20",0.3,0.00302114803625378,1,1,20
1,"Poisson-score SIS",30,"top 30",0.533333333333333,0.0080563947633434,1,1,30
1,"Poisson-score SIS",40,"top 40",0.65,0.013091641490433,1,1,40
1,"Poisson-score SIS",60,"top 60",0.766666666666667,0.0231621349446123,1,1,60
1,"Poisson-score SIS",80,"top 80",0.825,0.0332326283987915,1,1,80
1,"Poisson-score SIS",120,"top 120",0.883333333333333,0.05337361530715,1,1,120
1,"Poisson-score SIS",160,"top 160",0.9125,0.0735146022155086,1,1,160
1,"Poisson-score SIS",220,"top 220",0.936363636363636,0.103726082578046,1,1,220
1,"Poisson-Wald SIS",14,"top 14",0,0,1,1,14
1,"Poisson-Wald SIS",20,"top 20",0.3,0.00302114803625378,1,1,20
1,"Poisson-Wald SIS",30,"top 30",0.533333333333333,0.0080563947633434,1,1,30
1,"Poisson-Wald SIS",40,"top 40",0.65,0.013091641490433,1,1,40
1,"Poisson-Wald SIS",60,"top 60",0.766666666666667,0.0231621349446123,1,1,60
1,"Poisson-Wald SIS",80,"top 80",0.825,0.0332326283987915,1,1,80
1,"Poisson-Wald SIS",120,"top 120",0.883333333333333,0.05337361530715,1,1,120
1,"Poisson-Wald SIS",160,"top 160",0.9125,0.0735146022155086,1,1,160
1,"Poisson-Wald SIS",220,"top 220",0.936363636363636,0.103726082578046,1,1,220
2,"mfscreen",14,"top 14",0.0714285714285714,0.000503524672708963,0.928571428571429,0,14
2,"mfscreen",20,"top 20",0.3,0.00302114803625378,1,1,20
2,"mfscreen",30,"top 30",0.533333333333333,0.0080563947633434,1,1,30
2,"mfscreen",40,"top 40",0.65,0.013091641490433,1,1,40
2,"mfscreen",60,"top 60",0.766666666666667,0.0231621349446123,1,1,60
2,"mfscreen",80,"top 80",0.825,0.0332326283987915,1,1,80
2,"mfscreen",120,"top 120",0.883333333333333,0.05337361530715,1,1,120
2,"mfscreen",160,"top 160",0.9125,0.0735146022155086,1,1,160
2,"mfscreen",220,"top 220",0.936363636363636,0.103726082578046,1,1,220
2,"Pearson SIS",14,"top 14",0.0714285714285714,0.000503524672708963,0.928571428571429,0,14
2,"Pearson SIS",20,"top 20",0.3,0.00302114803625378,1,1,20
2,"Pearson SIS",30,"top 30",0.533333333333333,0.0080563947633434,1,1,30
2,"Pearson SIS",40,"top 40",0.65,0.013091641490433,1,1,40
2,"Pearson SIS",60,"top 60",0.766666666666667,0.0231621349446123,1,1,60
2,"Pearson SIS",80,"top 80",0.825,0.0332326283987915,1,1,80
2,"Pearson SIS",120,"top 120",0.883333333333333,0.05337361530715,1,1,120
2,"Pearson SIS",160,"top 160",0.9125,0.0735146022155086,1,1,160
2,"Pearson SIS",220,"top 220",0.936363636363636,0.103726082578046,1,1,220
2,"Spearman SIS",14,"top 14",0.0714285714285714,0.000503524672708963,0.928571428571429,0,14
2,"Spearman SIS",20,"top 20",0.3,0.00302114803625378,1,1,20
2,"Spearman SIS",30,"top 30",0.533333333333333,0.0080563947633434,1,1,30
2,"Spearman SIS",40,"top 40",0.65,0.013091641490433,1,1,40
2,"Spearman SIS",60,"top 60",0.766666666666667,0.0231621349446123,1,1,60
2,"Spearman SIS",80,"top 80",0.825,0.0332326283987915,1,1,80
2,"Spearman SIS",120,"top 120",0.883333333333333,0.05337361530715,1,1,120
2,"Spearman SIS",160,"top 160",0.9125,0.0735146022155086,1,1,160
2,"Spearman SIS",220,"top 220",0.936363636363636,0.103726082578046,1,1,220
2,"Poisson-score SIS",14,"top 14",0.0714285714285714,0.000503524672708963,0.928571428571429,0,14
2,"Poisson-score SIS",20,"top 20",0.3,0.00302114803625378,1,1,20
2,"Poisson-score SIS",30,"top 30",0.533333333333333,0.0080563947633434,1,1,30
