"method","parameter","parameter_label","fdr","fpr","tpr","ssp","selected_count","fdr_sd","fpr_sd","tpr_sd","ssp_sd","selected_count_sd"
"mfscreen",14,"top 14",0.0892857142857143,0.000629405840886203,0.910714285714286,0.2375,14,0.0695967645494604,0.000490611633279177,0.0695967645494605,0.428236004966149,0
"mfscreen",20,"top 20",0.33625,0.00338620342396777,0.948214285714286,0.4875,20,0.0428236004966149,0.000431254788485547,0.0611765721380212,0.502997345036655,0
"mfscreen",30,"top 30",0.550833333333333,0.00832074521651561,0.9625,0.5875,30,0.0242902051184754,0.000366921527469417,0.0520504395395902,0.495390141610694,0
"mfscreen",40,"top 40",0.6603125,0.0132993454179255,0.970535714285714,0.6625,40,0.0162524340922845,0.000327340062281661,0.0464355259779556,0.475840362551257,0
"mfscreen",60,"top 60",0.771875,0.0233194864048338,0.977678571428571,0.75,60,0.00977732026483644,0.000295387319179349,0.0419028011350133,0.435744670330595,0
"mfscreen",80,"top 80",0.828125,0.0333585095669688,0.982142857142857,0.7875,80,0.00644475058684062,0.000259607274394385,0.0368271462105177,0.411657655481415,0
"mfscreen",120,"top 120",0.884583333333333,0.0534491440080564,0.989285714285714,0.8625,120,0.00327480257830357,0.000197873267571211,0.028069736385459,0.346547163758212,0
"mfscreen",160,"top 160",0.913359375,0.073583836858006,0.990178571428571,0.875,160,0.00238330285860249,0.000192008286695065,0.027237746955457,0.332805489243922,0
"mfscreen",220,"top 220",0.936647727272727,0.103757552870091,0.995535714285714,0.9375,220,0.00110722125419595,0.000122652908319794,0.0173991911373651,0.243588675923112,0
"Pearson SIS",14,"top 14",0.0830357142857143,0.000585347432024169,0.916964285714286,0.25,14,0.0657250462925087,0.000463318553925036,0.0657250462925087,0.435744670330595,0
"Pearson SIS",20,"top 20",0.333125,0.00335473313192346,0.952678571428571,0.5125,20,0.0405217163218796,0.000408073678971597,0.0578881661741138,0.502997345036655,0
"Pearson SIS",30,"top 30",0.550416666666667,0.00831445115810675,0.963392857142857,0.6,30,0.0237152291922288,0.000358236090517053,0.0508183482690618,0.492988818010657,0
"Pearson SIS",40,"top 40",0.6596875,0.0132867573011078,0.972321428571429,0.6875,40,0.016154784336599,0.000325373299830795,0.0461565266759972,0.466436802942521,0
"Pearson SIS",60,"top 60",0.771666666666667,0.023313192346425,0.978571428571429,0.75,60,0.0093381542702939,0.000282119464359333,0.0400206611584026,0.435744670330595,0
